Time,RPx,RPy,RPz
18.31747,-1.470926,-0.2350864,-0.6833787
19.33801,-0.3072791,-0.1845331,0.05107927
20.34872,-0.1863739,0.758033,-0.07000399
21.35804,-0.07229125,0.08648133,-0.1422901
22.36987,-0.02723074,-0.005726933,-0.09035206
23.3933,-0.02710056,-0.03812468,0.491642
24.41415,1.728483,-0.5463623,1.05842
25.43502,1.58301,-0.4508621,1.370843
26.44589,-0.5103168,-0.9954337,-0.2587504
27.45659,-1.537007,-0.5753391,-2.063302
28.46732,-0.08184099,-0.02208638,-0.1029863
29.4895,0.01099372,-0.008516312,0.008131981
30.49888,-0.2689042,-0.05173159,0.3112531
31.52051,-0.1218727,0.2161653,0.2090716
32.53392,-0.0655179,0.109771,0.05097294
33.55204,1.059133,0.004344702,0.4448137
34.5636,-0.4361839,0.2158813,-1.281079
35.57718,-0.02182531,0.1847041,-0.2367005
Time,LCAVx,LCAVy,LCAVy
1.021388,291.7208,255.0301,6.584901
2.031579,2.868347,12.24947,350.3383
3.042356,-4.735779,-250.5011,-101.9056
4.06395,3.43219,341.8007,60.05908
5.085374,1.153168,-343.7733,-11.86185
6.096609,-12.21707,31.70025,-30.28625
7.11856,14.50214,176.0629,-228.179
8.130607,-21.21637,-125.6613,147.2128
9.140942,17.8215,103.8143,-140.4931
10.15314,-2.220184,51.75146,-38.13551
11.17576,-6.574402,-225.2202,278.6248
12.19824,-3.787415,-13.68491,9.138519
13.21911,-1.608612,-11.09371,9.759735
14.2427,6.215607,307.3332,47.01016
15.26233,-2.12265,-5.202271,-356.4668
16.28378,-3.291687,-111.2579,72.73903
17.29535,11.08221,29.24042,-24.39225
18.31747,-1.065155,102.0545,294.3119
19.33801,1.915955,-112.6795,-315.0418
20.34872,4.531525,-193.6965,268.7382
21.35804,-7.302063,-1.175943,-4.760437
22.36987,-8.366241,41.88424,-33.85599
23.3933,9.922791,153.9866,-221.3742
24.41415,7.237823,-1.091385,-14.87695
25.43502,-0.3132629,-18.45482,11.88902
26.44589,-14.50198,126.7261,301.2937
27.45659,1.867432,-3.26001,1.832703
28.46732,-1.330536,5.5672,-6.194244
29.4895,-0.9138184,33.49118,-40.99963
30.49888,17.3559,-160.5077,-242.3316
31.52051,-16.24933,45.51332,-1.631237
32.53392,24.40372,-42.78578,3.107155
33.55204,5.812775,-186.8257,161.3035
34.5636,8.903778,6.475171,4.705383
35.57718,-22.7738,186.6382,-176.164
Time,RCPx,RCPy,RCPz
1.021388,2.291317,0.9649849,-3.634857
2.031579,4.122703,0.5236338,-3.822193
3.042356,4.82573,-0.7464195,-3.886309
4.06395,3.634153,-1.591578,-4.920938
5.085374,2.405915,-1.714339,-5.793946
6.096609,2.404812,-1.576492,-5.780964
7.11856,3.191057,-1.855226,-5.244456
8.130607,2.502343,-1.551859,-5.243845
9.140942,3.275755,-2.147112,-4.598102
10.15314,4.652551,-2.300616,-4.049719
11.17576,3.535025,-1.148699,-5.344225
12.19824,2.635012,-1.042513,-5.809393
13.21911,2.617675,-1.013734,-5.822412
14.2427,2.455612,-0.3864894,-5.522442
15.26233,1.821638,0.5820203,-5.574956
16.28378,2.203405,0.4261186,-5.281868
17.29535,3.430401,-0.2500365,-4.753128
18.31747,1.790921,-0.4421136,-5.691308
19.33801,1.913384,-0.7027245,-5.340055
20.34872,1.400109,0.311848,-5.812144
21.35804,1.295593,0.3989328,-5.924119
22.36987,1.286115,0.432572,-5.989001
23.3933,1.714422,0.08280843,-5.191534
24.41415,3.434758,-0.4253511,-4.02608
25.43502,4.950858,-0.9379635,-2.611463
26.44589,3.982607,-1.918273,-3.469926
27.45659,2.453007,-2.430274,-5.512976
28.46732,2.448813,-2.409203,-5.521147
29.4895,2.49843,-2.375999,-5.414175
30.49888,2.570661,-2.494335,-4.840906
31.52051,2.092242,-2.158047,-4.849681
32.53392,2.291607,-2.072431,-4.588834
33.55204,3.190296,-2.090436,-4.502519
34.5636,2.671931,-1.86555,-5.821492
35.57718,2.771797,-1.684035,-5.570225
Time,RCRx,RCRy,RCRz
1.021388,296.4962,171.3858,62.61643
2.031579,309.9104,171.4338,40.90665
3.042356,328.7803,210.7704,32.97134
4.06395,304.7796,245.514,346.9774
5.085374,291.4135,100.7513,164.14
6.096609,300.0439,132.5329,155.0911
7.11856,302.4606,176.698,71.81233
8.130607,287.7503,130.3869,121.7854
9.140942,301.4658,158.207,66.86829
10.15314,301.4662,152.2946,101.3823
11.17576,318.1269,196.1779,56.28162
12.19824,305.1601,235.5573,29.11527
13.21911,308.0421,247.0716,0.7630853
14.2427,281.8344,155.6184,106.3702
15.26233,288.163,123.4855,150.0028
16.28378,303.0872,141.6005,112.2846
17.29535,295.5795,262.5728,326.7138
18.31747,285.7596,292.1135,324.4842
19.33801,287.8089,154.6108,65.5065
20.34872,298.1925,156.6387,65.83135
21.35804,278.2355,138.2468,93.70854
22.36987,300.3031,117.2996,127.913
23.3933,296.4211,151.0988,62.26456
24.41415,296.1421,126.9202,61.39904
25.43502,307.3774,133.6537,54.09181
26.44589,316.8536,228.7937,341.3643
27.45659,306.6453,229.1329,347.6624
28.46732,287.282,216.6803,14.98957
29.4895,274.4783,249.1788,341.8225
30.49888,299.553,109.7562,85.22836
31.52051,275.4357,145.6073,89.65344
32.53392,293.8016,124.5706,83.64314
33.55204,338.002,247.2253,297.2996
34.5636,346.7914,256.4973,303.4024
35.57718,292.194,259.5831,293.7037
Time,RCVx,RCVy,RCVz
1.021388,0.416643,0.02748454,0.7025008
2.031579,1.831386,-0.4413511,-0.1873362
3.042356,0.7030277,-1.270053,-0.06411576
4.06395,-1.191577,-0.845158,-1.034628
5.085374,-1.228238,-0.122762,-0.8730087
6.096609,-0.001102448,0.1378477,0.01298189
7.11856,0.7862444,-0.278734,0.5365086
8.130607,-0.6887138,0.3033664,0.0006108284
9.140942,0.7734122,-0.5952525,0.6457429
10.15314,1.376796,-0.1535044,0.5483832
11.17576,-1.117526,1.151917,-1.294506
12.19824,-0.9000125,0.1061864,-0.465168
13.21911,-0.01733708,0.02877879,-0.01301861
14.2427,-0.1620629,0.6272445,0.2999692
15.26233,-0.6339741,0.9685097,-0.0525136
16.28378,0.3817666,-0.1559017,0.293088
17.29535,1.226996,-0.6761551,0.5287399
18.31747,-1.63948,-0.1920772,-0.93818
19.33801,0.1224631,-0.2606108,0.3512535
20.34872,-0.5132748,1.014573,-0.4720898
21.35804,-0.1045157,0.08708471,-0.1119747
22.36987,-0.009478211,0.03363925,-0.0648818
23.3933,0.4283072,-0.3497636,0.7974668
24.41415,1.720335,-0.5081596,1.165454
25.43502,1.5161,-0.5126123,1.414617
26.44589,-0.968251,-0.9803092,-0.8584626
27.45659,-1.5296,-0.5120008,-2.04305
28.46732,-0.004193306,0.02107096,-0.008171082
29.4895,0.04961705,0.03320384,0.1069722
30.49888,0.0722301,-0.1183364,0.5732684
31.52051,-0.4784186,0.336288,-0.008775234
32.53392,0.1993654,0.08561635,0.2608476
33.55204,0.8986888,-0.01800561,0.08631516
34.5636,-0.5183651,0.2248869,-1.318974
35.57718,0.09986591,0.1815143,0.2512674
Time,RCAVx,RCAVy,RCAVz
1.021388,-49.79141,-144.8688,57.98103
2.031579,13.41415,0.04797363,-21.70978
3.042356,18.8699,39.33655,-7.935314
4.06395,-24.0007,34.74361,314.006
5.085374,-13.36615,-144.7627,-182.8373
6.096609,8.630402,31.78155,-9.04892
7.11856,2.416779,44.16518,-83.27876
8.130607,-14.71033,-46.31117,49.97308
9.140942,13.71552,27.82011,-54.91712
10.15314,0.0004272461,-5.912323,34.51398
11.17576,16.66068,43.8833,-45.10066
12.19824,-12.9668,39.37939,-27.16635
13.21911,2.881927,11.51428,-28.35219
14.2427,-26.20761,-91.45323,105.6071
15.26233,6.328583,-32.13291,43.63264
16.28378,14.92413,18.11501,-37.71815
17.29535,-7.50769,120.9723,214.4291
18.31747,-9.819916,29.54074,-2.229584
19.33801,2.049316,-137.5027,-258.9777
20.34872,10.38361,2.027908,0.324852
21.35804,-19.957,-18.39191,27.87719
22.36987,22.0676,-20.94719,34.20448
23.3933,-3.881989,33.79919,-65.64847
24.41415,-0.2790222,-24.17867,-0.8655205
25.43502,11.23532,6.733582,-7.307224
26.44589,9.476257,95.14,287.2725
27.45659,-10.20831,0.3391724,6.298096
28.46732,-19.36328,-12.45258,-332.6728
29.4895,-12.80377,32.4985,326.8329
30.49888,25.07471,-139.4227,-256.5941
31.52051,-24.11731,35.85111,4.425087
32.53392,18.36591,-21.0367,-6.010307
33.55204,44.20041,122.6547,213.6564
34.5636,8.789368,9.272034,6.102875
35.57718,-54.59738,3.085754,-9.698761
Task,Time Taken
1,5.529356
2,2.23368
3,5.256931
4,2.043758
5,3.509273
6,3.862751
7,5.875254
8,3.443981
9,2.797533
10,2.012394
