Time,RPx,RPy,RPz
7.125914,347.1705,6.919524,353.8978
8.146507,347.1673,6.907198,353.8865
9.157208,347.1745,6.904324,353.8924
10.16924,347.163,6.900975,353.8911
11.19207,347.1703,6.897328,353.8938
12.21152,347.3527,4.134716,350.6243
13.23492,353.0853,357.2519,337.0161
14.25607,295.2188,256.1342,321.2262
15.27894,312.1436,260.555,334.531
16.2999,320.9573,256.0265,339.9001
17.32173,333.7954,252.2938,62.23231
18.33376,339.7405,300.7869,344.5408
19.3544,333.9185,264.3125,347.9865
20.37681,314.5724,171.6453,25.9586
21.39863,321.4949,167.7954,23.46404
22.42015,321.6028,168.5922,22.93941
23.43108,322.3927,169.5503,18.63401
24.44448,325.02,282.4703,338.6757
25.46397,317.7007,306.5966,326.3222
26.47465,317.2258,191.9404,7.861348
27.49497,330.5784,281.723,337.5714
28.50654,338.1192,267.8823,2.626722
29.51762,339.1198,263.8279,6.261655
30.53881,339.0222,263.7779,7.072057
31.55988,329.1316,269.569,329.2349
32.5711,324.231,278.7651,312.8111
33.59431,319.02,263.0127,319.4926
34.61479,324.1818,235.488,329.4718
35.63556,309.1855,244.111,332.8352
36.64635,322.0852,226.1526,1.467625
37.65758,306.7066,242.2678,340.4735
38.67013,326.4927,168.0899,2.669702
39.69235,328.0663,173.3272,1.763299
40.71266,330.6906,278.0704,351.3485
41.72357,340.8377,267.5139,9.917202
42.74546,335.8962,256.9901,14.87669
43.76798,322.2782,239.3474,10.49217
44.78953,325.5312,240.1697,11.24079
45.81049,326.5959,237.9858,13.65799
Time,RCVx,RCVy,RCVz
1.015216,0.04711485,0.0004074574,-0.1925139
2.036808,0.0001227856,5.960464E-06,-0.0001635551
3.059085,-3.46899E-05,3.898144E-05,0.0002484322
4.069881,4.649162E-05,4.065037E-05,-0.000128746
5.091102,2.467632E-05,3.302097E-05,-0.0001544952
6.104456,-7.43866E-05,-0.0001446009,-0.0001449585
7.125914,9.322166E-05,0.0002336502,9.10759E-05
8.146507,-0.0001087189,-0.0001549721,6.246567E-05
9.157208,6.842613E-05,0.0001044273,-2.813339E-05
10.16924,0.0001282692,-7.426739E-05,-9.202957E-05
11.19207,-0.0001410246,-6.604195E-05,0.0002393723
12.21152,-0.007042408,0.0003442764,-0.003611088
13.23492,-0.003117681,0.0144856,0.01015663
14.25607,0.08147144,0.4016857,0.2172389
15.27894,-0.05342162,-0.06669033,0.127202
16.2999,0.02202737,-0.07325518,-0.03442097
17.32173,-0.02972293,-0.004208803,0.2612085
18.33376,-0.0226469,-0.1350342,0.1265674
19.3544,0.003593802,0.02532685,-0.002007008
20.37681,0.5802374,-0.1066241,0.3339722
21.39863,1.867195,-0.2235821,0.5056701
22.42015,1.898597,0.03519833,0.08571506
23.43108,1.682724,-0.07008427,0.4347713
